date,store,item,sales
2015-06-07,2,38,146
2015-06-08,2,38,94
2015-06-09,2,38,112
2015-06-10,2,38,118
2015-06-11,2,38,115
2015-06-12,2,38,134
2015-06-13,2,38,146
2015-06-14,2,38,137
2015-06-15,2,38,93
2015-06-16,2,38,126
2015-06-17,2,38,108
2015-06-18,2,38,110
2015-06-19,2,38,129
2015-06-20,2,38,133
2015-06-21,2,38,140
2015-06-22,2,38,96
2015-06-23,2,38,90
2015-06-24,2,38,102
2015-06-25,2,38,120
2015-06-26,2,38,134
2015-06-27,2,38,143
2015-06-28,2,38,130
2015-06-29,2,38,84
2015-06-30,2,38,115
2015-07-01,2,38,136
2015-07-02,2,38,140
2015-07-03,2,38,152
2015-07-04,2,38,138
2015-07-05,2,38,159
2015-07-06,2,38,96
2015-07-07,2,38,130
2015-07-08,2,38,115
2015-07-09,2,38,127
2015-07-10,2,38,144
2015-07-11,2,38,162
2015-07-12,2,38,161
2015-07-13,2,38,90
2015-07-14,2,38,106
2015-07-15,2,38,134
2015-07-16,2,38,126
2015-07-17,2,38,163
2015-07-18,2,38,149
2015-07-19,2,38,177
2015-07-20,2,38,92
2015-07-21,2,38,115
2015-07-22,2,38,126
2015-07-23,2,38,126
2015-07-24,2,38,142
2015-07-25,2,38,142
2015-07-26,2,38,151
2015-07-27,2,38,102
2015-07-28,2,38,121
2015-07-29,2,38,117
2015-07-30,2,38,129
2015-07-31,2,38,132
2015-08-01,2,38,128
2015-08-02,2,38,151
2015-08-03,2,38,105
2015-08-04,2,38,105
2015-08-05,2,38,102
2015-08-06,2,38,125
2015-08-07,2,38,121
2015-08-08,2,38,136
2015-08-09,2,38,143
2015-08-10,2,38,76
2015-08-11,2,38,112
2015-08-12,2,38,102
2015-08-13,2,38,102
2015-08-14,2,38,119
2015-08-15,2,38,139
2015-08-16,2,38,162
2015-08-17,2,38,107
2015-08-18,2,38,121
2015-08-19,2,38,110
2015-08-20,2,38,119
2015-08-21,2,38,146
2015-08-22,2,38,112
2015-08-23,2,38,141
2015-08-24,2,38,87
2015-08-25,2,38,88
2015-08-26,2,38,115
2015-08-27,2,38,118
2015-08-28,2,38,136
2015-08-29,2,38,145
2015-08-30,2,38,165
2015-08-31,2,38,107
2015-09-01,2,38,92
2015-09-02,2,38,89
2015-09-03,2,38,95
2015-09-04,2,38,108
2015-09-05,2,38,133
2015-09-06,2,38,138
2015-09-07,2,38,90
2015-09-08,2,38,121
2015-09-09,2,38,111
2015-09-10,2,38,117
2015-09-11,2,38,115
2015-09-12,2,38,118
2015-09-13,2,38,131
2015-09-14,2,38,90
2015-09-15,2,38,123
2015-09-16,2,38,96
2015-09-17,2,38,113
2015-09-18,2,38,105
2015-09-19,2,38,127
2015-09-20,2,38,135
2015-09-21,2,38,92
2015-09-22,2,38,105
2015-09-23,2,38,76
2015-09-24,2,38,111
2015-09-25,2,38,114
2015-09-26,2,38,126
2015-09-27,2,38,122
2015-09-28,2,38,89
