Date,trend
2016-01-01,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,775553.4583333335
2016-08-01,774824.375
2016-09-01,776194.3333333333
2016-10-01,779056.75
2016-11-01,781926.2500000001
2016-12-01,785006.0833333334
2017-01-01,788115.8749999999
2017-02-01,791348.5416666666
2017-03-01,794821.0833333334
2017-04-01,797569.2083333334
2017-05-01,800273.8750000001
2017-06-01,803155.0416666667
2017-07-01,797711.5833333335
2017-08-01,784196.8333333334
2017-09-01,768895.2916666666
2017-10-01,749650.5833333333
2017-11-01,728232.5833333331
2017-12-01,706296.2916666665
2018-01-01,681942.2083333333
2018-02-01,657979.1666666667
2018-03-01,636937.5833333334
2018-04-01,616940.5416666666
2018-05-01,597325.25
2018-06-01,579627.0416666666
2018-07-01,574732.0416666666
2018-08-01,580597.9999999999
2018-09-01,587123.7916666666
2018-10-01,595188.7499999999
2018-11-01,604616.875
2018-12-01,614236.875
2019-01-01,624417.4166666666
2019-02-01,634914.2083333333
2019-03-01,643833.0416666665
2019-04-01,652062.75
2019-05-01,660830.9166666667
2019-06-01,668313.4583333334
2019-07-01,689017.4583333333
2019-08-01,712081.6249999999
2019-09-01,715239.5416666666
2019-10-01,706791.3750000001
2019-11-01,689961.875
2019-12-01,668515.8333333334
2020-01-01,645697.9583333333
2020-02-01,627850.2083333333
2020-03-01,619505.8749999999
2020-04-01,619562.1250000001
2020-05-01,620455.875
2020-06-01,624463.375
2020-07-01,
2020-08-01,
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,
