date,store,item,sales
2018-01-01,7,18,454904
2018-02-01,8,18,459417
2018-03-01,9,18,617382
2018-04-01,10,18,682274
2018-05-01,1,19,763242
2018-06-01,2,19,795597
2018-07-01,3,19,855922
2018-08-01,4,19,766761
2018-09-01,5,19,689907
2018-10-01,6,19,656587
2018-11-01,7,19,692643
2018-12-01,8,19,506607
2019-01-01,9,19,525987
2019-02-01,10,19,529117
2019-03-01,1,20,704301
2019-04-01,2,20,788914
2019-05-01,3,20,882877
2019-06-01,4,20,906842
2019-07-01,5,20,989010
2019-08-01,6,20,885596
2019-09-01,7,20,785124
2019-10-01,8,20,758883
2019-11-01,9,20,800783
2019-12-01,10,20,578048
2015-01-01,1,21,552513
2015-02-01,2,21,551317
2015-03-01,3,21,730951
2015-04-01,4,21,824467
2015-05-01,5,21,926902
2015-06-01,6,21,937184
2015-07-01,7,21,1037350
2015-08-01,8,21,920401
2015-09-01,9,21,823332
2015-10-01,10,21,797253
2015-11-01,1,22,827645
2015-12-01,2,22,607572
2016-01-01,3,22,602439
2016-02-01,4,22,614957
2016-03-01,5,22,790881
2016-04-01,6,22,901950
2016-05-01,7,22,988730
2016-06-01,8,22,1022664
2016-07-01,9,22,1138718
2016-08-01,10,22,981494
2016-09-01,1,23,896831
2016-10-01,2,23,863637
2016-11-01,3,23,891448
2016-12-01,4,23,663411
2017-01-01,5,23,617306
2017-02-01,6,23,621369
2017-03-01,7,23,822667
2017-04-01,8,23,938862
2017-05-01,9,23,1020686
2017-06-01,10,23,1064624
2017-07-01,1,24,1171393
2017-08-01,2,24,1026403
2017-09-01,3,24,935263
2017-10-01,4,24,891160
2017-11-01,5,24,928837
2017-12-01,6,24,695170
