Date,residul
2016-01-01,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,32960.13368055556
2016-08-01,3834.0399305555184
2016-09-01,5021.362847222295
2016-10-01,-1011.9288194444189
2016-11-01,-18418.897569444416
2016-12-01,-39587.60590277781
2017-01-01,-123873.55381944438
2017-02-01,-59430.05381944432
2017-03-01,1834.0190972222408
2017-04-01,50003.40451388884
2017-05-01,65377.56076388884
2017-06-01,76499.64409722209
2017-07-01,43477.008680555446
2017-08-01,39370.581597222146
2017-09-01,50752.4045138888
2017-10-01,55917.23784722221
2017-11-01,72663.76909722234
2017-12-01,70881.18576388905
2018-01-01,-180101.88715277775
2018-02-01,-88012.67881944455
2018-03-01,-45567.480902777876
2018-04-01,-25955.92881944442
2018-05-01,10882.185763888956
2018-06-01,31000.64409722232
2018-07-01,-49014.449652777694
2018-08-01,-16672.585069444365
2018-09-01,-12832.095486111077
2018-10-01,-24193.928819444303
2018-11-01,-39914.522569444416
2018-12-01,-25622.397569444438
2019-01-01,-51494.095486111124
2019-02-01,4752.279513888934
2019-03-01,34456.060763888985
2019-04-01,45561.86284722233
2019-05-01,67011.51909722222
2019-06-01,53559.22743055558
2019-07-01,-30211.86631944432
2019-08-01,-29321.210069444365
2019-09-01,-45730.84548611108
2019-10-01,-33500.55381944453
2019-11-01,-17119.522569444533
2019-12-01,-8460.35590277781
2020-01-01,352680.36284722225
2020-02-01,139901.27951388893
2020-03-01,6488.227430555613
2020-04-01,-72398.5121527778
2020-05-01,-146060.43923611104
2020-06-01,-163848.68923611107
2020-07-01,
2020-08-01,
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,
