Date,trend
2015-01-01,
2015-02-01,
2015-03-01,
2015-04-01,
2015-05-01,
2015-06-01,
2015-07-01,706914.3750000001
2015-08-01,692228.0833333334
2015-09-01,696475.9583333333
2015-10-01,713241.4583333333
2015-11-01,739191.3333333334
2015-12-01,769873.8333333333
2016-01-01,803755.4583333333
2016-02-01,831836.7916666666
2016-03-01,848831.3333333333
2016-04-01,857794.2916666665
2016-05-01,865042.9999999999
2016-06-01,868370.0
2016-07-01,865553.4583333334
2016-08-01,864824.375
2016-09-01,866194.3333333333
2016-10-01,869056.75
2016-11-01,871926.25
2016-12-01,875006.0833333334
2017-01-01,878115.8749999999
2017-02-01,881348.5416666665
2017-03-01,884821.0833333333
2017-04-01,887569.2083333334
2017-05-01,890273.8750000001
2017-06-01,893155.0416666669
2017-07-01,887711.5833333335
2017-08-01,874196.8333333334
2017-09-01,858895.2916666667
2017-10-01,839650.5833333334
2017-11-01,818232.5833333333
2017-12-01,796296.2916666665
2018-01-01,771942.2083333333
2018-02-01,747979.1666666667
2018-03-01,726937.5833333334
2018-04-01,706940.5416666666
2018-05-01,687325.25
2018-06-01,669627.0416666666
2018-07-01,664732.0416666666
2018-08-01,670597.9999999999
2018-09-01,677123.7916666666
2018-10-01,685188.7499999999
2018-11-01,694616.875
2018-12-01,704236.875
2019-01-01,714417.4166666666
2019-02-01,724914.2083333333
2019-03-01,733833.0416666665
2019-04-01,742062.7499999999
2019-05-01,750830.9166666667
2019-06-01,758313.4583333334
2019-07-01,
2019-08-01,
2019-09-01,
2019-10-01,
2019-11-01,
2019-12-01,
